epoch,train_total_loss,train_voltage_loss_model_space,train_current_loss_model_space,val_total_loss,val_voltage_loss_model_space,val_current_loss_model_space,learning_rate
1,0.2955013992166222,0.2062130497840087,0.15115226616431124,0.42409261087379835,0.1640517024120482,0.30925641496582784,0.00017
2,0.2935552248578453,0.20492289387857926,0.1501092036812724,0.42335381484267737,0.16309405346908193,0.30918798352232074,0.00017
3,0.28859457174008507,0.20060992446318965,0.14816762644677642,0.42170762602645573,0.16114097361517424,0.3089089485088197,0.00017
4,0.28050027662348526,0.19220483779659647,0.1459568929108999,0.4175709940419339,0.15586649869928265,0.30846445188663973,0.00017
5,0.2694616351172189,0.17938145707329486,0.14389461637904957,0.41536137697720293,0.1518621127499212,0.3090578952048085,0.00017
6,0.2596625376218081,0.1672150352476542,0.14261201403934512,0.41342561197752997,0.14897466841900703,0.3091433479054139,0.00017
7,0.2511705235652587,0.1569172696037332,0.14132843849753046,0.4226630094027755,0.15756968298170826,0.3123642268157241,0.00017
8,0.24357397218359594,0.14793248022766253,0.14002123943927502,0.42901299111913926,0.16436971060120234,0.3139541969440951,0.00017
9,0.23768116881333964,0.14075269332939666,0.13915428650581887,0.4281552327741491,0.16380421802549078,0.3134922697992608,0.00017
10,0.2330909316908657,0.1356942795085511,0.13810493878300686,0.4424925971739363,0.18110080933806919,0.3157220273324759,0.00017
11,0.22936834369206788,0.1314388015176927,0.13736118262910274,0.43362458153526384,0.1696114699439247,0.314896561131619,0.00017
12,0.22683850854542398,0.1290666399792471,0.13649186232008295,0.44170650515225857,0.17998104461348882,0.3157197750440919,8.5e-05
13,0.22365619101380757,0.1259523854280995,0.1354895231090602,0.44119855318919265,0.17863948274366925,0.31615092258642213,8.5e-05
14,0.22241070328100448,0.12456253256459227,0.13521693239949822,0.4430112962675567,0.18044788796122713,0.31669777100629143,8.5e-05
15,0.22102138519418635,0.12332616478464879,0.13469306764271216,0.43755887522555814,0.1736098297751776,0.31603200866444275,8.5e-05
16,0.21971252551331327,0.12213361673327869,0.13421899490329212,0.43560142092185444,0.17061395072700955,0.316171662642224,8.5e-05
17,0.21855825789249575,0.12093961498819036,0.13390052818373108,0.4542986880434622,0.19427182768831158,0.31830840565190455,8.5e-05
18,0.21793292677910034,0.12057316704021684,0.13353171020839072,0.434119981114227,0.1680389657469079,0.3164927074224642,4.25e-05
19,0.21665153865192785,0.11941155998049804,0.13306344690445426,0.43577515134716976,0.17049311440769988,0.3164299688126781,4.25e-05
20,0.21604168603268306,0.1189459286734601,0.13277953782874166,0.4344527027984657,0.1685705320669873,0.3164533282270526,4.25e-05
21,0.2154909715071893,0.11843567164779205,0.13258600246590618,0.4338952710132788,0.1675320037520758,0.3166228718686812,4.25e-05
22,0.21492091126871504,0.11798267059225438,0.1323330415372165,0.43483590135479916,0.16875429643262732,0.3167078946486558,4.25e-05
23,0.214308081896877,0.11745144245780517,0.13209207223289232,0.4362316568299095,0.17023977725812706,0.3170638172933371,4.25e-05
24,0.21413890178763112,0.11736249459495425,0.13198515540714204,0.4314364513548294,0.1639655341606329,0.3166605833143291,2.125e-05
25,0.2135862749406482,0.11698715740801266,0.13169526795422423,0.4333695928649147,0.16626842983878484,0.3169817015676215,2.125e-05
26,0.21324726716380252,0.11670265263207605,0.1315554107925231,0.43299773453485846,0.16581788924661015,0.3169252143637969,2.125e-05
